Country;Region;Owner;Variety;Number of bags;Bag weight;Aroma;Acidity;Sweetness;Total score;Price
Mexico;veracruz;jose daniel cobilt castro;Pacamara;26;200;7.58;7.5;10;82.42;3.946075754
Mexico;xicotepec de juarez;alvaro quiros perez;Caturra;10;200;7.58;7.58;10;82.42;3.788869121
Mexico;progreso santa rosa teocelo;olivia hernandez virves;Bourbon;1;200;7.67;7.42;10;82.42;3.431200264
Mexico;fln mirador;finca las nieves;Typica;10;200;7.83;7.67;10;82.42;4.498940861
Guatemala;atitlan;the coffee source inc.;Caturra;250;200;7.5;7.67;10;82.42;4.24590584
Mexico;veracruz;manuel herrera juarez;Bourbon;10;200;7.5;7.92;10;82.42;3.871528779
Mexico;chiapas;nestor mendez gomez;Typica;49;200;7.5;7.67;10;82.42;4.26506279
Mexico;la yerba;productos y servicios chilindron s.a. de c.v.;Typica;10;200;7.42;7.58;10;82.42;4.380401963
Mexico;san bartolo tutotepec;saul m. hernandez ramirez;Typica;10;200;7.5;7.5;10;82.5;4.027896122
Mexico;zapotitlan de mendez;enrique mitre lopez;Typica;10;200;7.67;7.67;10;82.5;4.347118772
Mexico;la concordia;enrique eduardo lopez aguilar;Typica;28;200;7.92;7.58;10;82.5;3.8777248
Guatemala;oriente;juan luis alvarado romero;Caturra;275;200;7.67;7.33;10;82.5;3.916046212
Thailand;thailand;doi tung development project;Other;1;200;7.5;7.75;10;82.5;4.095297398
Indonesia;bali;sanjava coffee;Other;2;200;7.83;7.5;10;82.5;4.03454929
Mexico;oaxaca;guillermo rojas saldana;Typica;50;200;7.5;7.5;10;82.58;3.959578075
Mexico;colima;organizaciones de productores de cafe colimense;Typica;70;200;7.67;7.75;10;82.58;3.7749664
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.67;7.67;10;82.58;3.942104421
Thailand;thailand;doi tung development project;Other;1;200;7.75;7.67;10;82.58;4.376123715
El Salvador;nan;adam kline;Other;288;200;7.92;6.75;9.33;82.67;3.933568314
Thailand;thailand;doi tung development project;Other;2;200;7.83;7.33;9.33;82.67;3.695860197
Mexico;nan;montegrande;Other;36;200;7.58;7.58;10;82.67;4.038632862
Mexico;mahuixtlan;grupo cafetalero los brujos spr de rl;Typica;23;200;7.5;7.58;10;82.67;4.125877331
Mexico;la yerba;productos y servicios chilindron s.a. de c.v.;Typica;11;200;7.67;7.5;10;82.67;3.655381133
Mexico;veracruz;sergio de la vequia bernardi;Typica;250;200;7.58;7.75;10;82.75;3.985669488
Mexico;atoyac de alvarez;romulo bello flores;Typica;21;200;8.08;8;10;82.75;3.682520357
India;chikmagalur;andrew hetzel;Other;200;200;8;8;7.75;82.75;3.461306385
Colombia;antioquia;the coffee source inc.;Caturra;250;200;7.58;7.33;10;82.75;3.401184489
Mexico;chiapas;nestor mendez gomez;Typica;32;200;7.58;7.5;10;82.75;4.411297167
Colombia;huila;coffee export;Typica;275;200;7.67;7.58;10;82.75;4.369824762
Indonesia;sapan toraja;sanjava coffee;Sulawesi;2;200;7.5;7.58;10;82.75;4.095728765
Mexico;la concordia;armando luis pohlenz martinez;Caturra;250;200;7.58;7.58;10;82.83;3.988532371
Mexico;veracruz;alfredo bojalil;Bourbon;250;200;7.67;7.75;10;82.83;3.426543352
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.67;7.5;10;82.83;3.705916686
Mexico;la concordia;alfredo bojalil;Typica;250;200;7.58;7.42;10;82.83;3.456861364
Colombia;santander;coffeebythebag.com , inc;Typica;40;200;7.5;7.5;10;82.83;3.423974652
Mexico;petatlan;maria guadalupe gomez anzo;Typica;15;200;7.58;7.25;10;82.92;4.264870548
Mexico;la cumbre;veronica lopez castillejos;Typica;100;200;8;7.17;10;82.92;4.174997792
Colombia;la plata;racafe & cia s.c.a;Caturra;121;200;7.67;7.5;10;83;3.725891929
Mexico;coatepec;rosa aurora falcon fernandez;Typica;15;200;7.67;7.5;10;83;3.748318071
Mexico;atoyac de alvarez;santiago solis ayerdi;Typica;20;200;7.67;7.58;10;83;4.353581433
Mexico;coatepec;alfredo bojalil;Bourbon;250;200;7.5;7.5;10;83;4.233913496
Guatemala;la reforma, san marcos;juan luis alvarado romero;Bourbon;275;200;7.5;7.67;10;83;3.514432238
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.67;7.58;10;83;3.773643234
Mexico;santa catarina juquila;maria luisa del carmen rojas narvaez;Other;10;200;7.75;7.75;10;83.08;4.051750818
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.83;7.67;10;83.08;4.490306002
Mexico;tlanchinol, hidalgo;saul m. hernandez ramirez;Typica;10;200;7.75;7.5;10;83.17;4.484922969
Mexico;san bartolo tutotepec;saul m. hernandez ramirez;Pacamara;10;200;7.58;7.67;10;83.17;3.426362212
Mexico;san isidro;fernando mendoza aparicio;Typica;15;200;7.75;7.75;10;83.17;3.475499683
Mexico;la concordia;alfredo bojalil;Typica;250;200;7.5;7.58;10;83.17;3.856079176
Honduras;san marcos;mayra yessenia torres;Catuai;275;200;7.5;7.67;10;83.17;4.050261024
Mexico;chiapas;nestor mendez gomez;Typica;45;200;7.75;7.58;10;83.17;4.231919247
Thailand;thailand;doi tung development project;Other;1;200;7.67;7.75;10;83.17;3.803908218
Mexico;veracruz;ernesto rodriguez luna;Mundo Novo;10;200;7.75;7.58;10;83.25;3.50567758
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.83;7.83;10;83.25;3.418322381
Mexico;chiapas;calixto guillen vazquez;Bourbon;200;200;7.58;7.5;10;83.25;3.971464896
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.5;7.5;10;83.33;3.5123356
Mexico;xalapa;manuel herrera juarez;Bourbon;10;200;7.83;7.5;10;83.5;3.631719319
Mexico;totutla;gabriel bernardo rivas ross;Pacamara;15;200;7.75;7.75;10;83.5;3.50382701
Guatemala;atitlan;the coffee source inc.;Caturra;250;200;7.58;7.83;10;83.5;4.072230762
Mexico;xalapa;alfredo bojalil;Typica;250;200;7.83;7.58;10;83.58;4.219123352
Guatemala;oriente;the coffee source inc.;Caturra;250;200;8.17;7.67;9.33;83.67;3.635489908
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.67;7.42;10;83.67;3.719625866
Mexico;xicotepec de juarez;juan luis ortega carballo;Typica;48;200;7.67;7.33;10;83.67;3.873240025
Thailand;thailand;doi tung development project;Other;1;200;7.5;7.83;10;83.67;3.854540178
Mexico;huazalingo, hidalgo;saul m. hernandez ramirez;Caturra;10;200;7.83;7.5;10;83.75;3.678847344
Mexico;petatlan;filemon mendoza campos;Bourbon;20;200;7.67;7.42;10;83.83;3.621052777
Mexico;la concordia, chiapas;alfredo bojalil;Pacas;250;200;7.67;7.75;10;83.83;4.219915453
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.83;7.83;10;83.83;3.90073406
Mexico;xicotepec de juarez;oscar ortega carballo;Typica;48;200;7.67;7.67;10;83.92;3.513844044
Mexico;la concordia;alfredo bojalil;Typica;250;200;7.5;7.83;10;83.92;3.424009287
Mexico;la yerbabuena;organizaciones de productores de cafe colimense;Typica;20;200;7.75;7.92;10;83.92;4.112620971
Thailand;thailand;doi tung development project;Other;2;200;7.92;8.42;9.33;84;4.313651439
Colombia;huila;olam agro colombia;Other;250;200;7.67;7.67;10;84;3.426276407
Mexico;santo domingo cacalotepec;andres martinez leon;Typica;300;200;7.67;7.75;10;84.08;3.765391846
Guatemala;guatemala;juan luis alvarado romero;Catuai;275;200;7.83;8;10;84.17;4.429941294
Mexico;veracruz;manuel herrera juarez;Bourbon;20;200;7.83;7.67;10;84.25;4.461873742
Mexico;la concordia, chiapas;alfredo bojalil;Bourbon;250;200;7.83;7.75;10;84.25;3.718884846
Mexico;tapachula;maria amalia guadalupe toriello elorza;Pacamara;69;200;7.75;7.67;10;84.42;4.393819589
Mexico;hustusco;maria imelda uscanga martinez;Typica;56;200;8;8.08;10;84.5;4.064475071
